algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0,10436,7
MergeSort,random,10000,1,128235,11
MergeSort,random,100000,5,1647534,14
MergeSort,random,1000000,77,20291116,17
MergeSort,sorted,1000,0,999,7
MergeSort,sorted,10000,0,9999,11
MergeSort,sorted,100000,0,99999,14
MergeSort,sorted,1000000,1,999999,17
MergeSort,duplicates,1000,0,9745,7
MergeSort,duplicates,10000,0,122735,11
MergeSort,duplicates,100000,2,1571216,14
MergeSort,duplicates,1000000,27,19271544,17
QuickSort,random,1000,0,15485,6
QuickSort,random,10000,0,227262,8
QuickSort,random,100000,4,3006103,10
QuickSort,random,1000000,55,36737115,12
QuickSort,sorted,1000,0,16564,5
QuickSort,sorted,10000,0,228525,7
QuickSort,sorted,100000,2,2978636,10
QuickSort,sorted,1000000,24,35391236,12
QuickSort,duplicates,1000,0,5277,2
QuickSort,duplicates,10000,0,52149,2
QuickSort,duplicates,100000,0,647987,2
QuickSort,duplicates,1000000,8,5300582,2
